Year,Sex,Type,Cancer_Type,Age_0_to_4,Age_5_to_9,Age_10_to_14,Age_15_to_19,Age_20_to_24,Age_25_to_29,Age_30_to_34,Age_35_to_39,Age_40_to_44,Age_45_to_49,Age_50_to_54,Age_55_to_59,Age_60_to_64,Age_65_to_69,Age_70_to_74,Age_75_to_79,Age_80_to_84,Age_85+,Age_Unknown,Sum
1972,Male,Mortality,Lung cancer,0.0,1.0,0.0,0.0,0.0,3.0,7.0,18.0,35.0,131.0,229.0,337.0,545.0,585.0,534.0,345.0,152.0,44.0,0.0,
1973,Male,Mortality,Lung cancer,0.0,0.0,0.0,0.0,0.0,1.0,3.0,18.0,41.0,140.0,257.0,345.0,546.0,629.0,532.0,373.0,150.0,64.0,1.0,
1974,Male,Mortality,Lung cancer,0.0,0.0,0.0,2.0,1.0,2.0,2.0,16.0,47.0,167.0,249.0,405.0,587.0,622.0,609.0,371.0,168.0,73.0,1.0,
1975,Male,Mortality,Lung cancer,0.0,0.0,0.0,0.0,2.0,6.0,7.0,15.0,41.0,149.0,250.0,395.0,596.0,647.0,600.0,389.0,196.0,61.0,0.0,
1976,Male,Mortality,Lung cancer,0.0,0.0,0.0,1.0,0.0,4.0,4.0,12.0,59.0,146.0,268.0,385.0,614.0,691.0,665.0,438.0,190.0,84.0,0.0,
1977,Male,Mortality,Lung cancer,0.0,0.0,0.0,1.0,0.0,4.0,6.0,13.0,35.0,128.0,263.0,363.0,597.0,691.0,665.0,448.0,217.0,93.0,0.0,
1978,Male,Mortality,Lung cancer,0.0,0.0,0.0,1.0,1.0,1.0,3.0,13.0,49.0,121.0,289.0,434.0,605.0,732.0,625.0,518.0,211.0,97.0,0.0,
1979,Male,Mortality,Lung cancer,0.0,1.0,0.0,1.0,1.0,2.0,4.0,13.0,35.0,117.0,282.0,435.0,601.0,758.0,711.0,525.0,224.0,107.0,0.0,
1980,Male,Mortality,Lung cancer,0.0,0.0,0.0,0.0,0.0,1.0,4.0,15.0,39.0,120.0,282.0,530.0,591.0,801.0,710.0,558.0,260.0,115.0,0.0,
1981,Male,Mortality,Lung cancer,0.0,0.0,0.0,1.0,0.0,2.0,9.0,20.0,54.0,112.0,284.0,506.0,605.0,840.0,794.0,574.0,265.0,118.0,1.0,
1982,Male,Mortality,Lung cancer,0.0,0.0,0.0,0.0,1.0,0.0,3.0,18.0,47.0,93.0,258.0,525.0,605.0,866.0,801.0,585.0,292.0,133.0,0.0,
1983,Male,Mortality,Lung cancer,0.0,0.0,0.0,0.0,1.0,2.0,6.0,13.0,51.0,110.0,273.0,501.0,683.0,792.0,819.0,579.0,303.0,122.0,0.0,
1984,Male,Mortality,Lung cancer,0.0,0.0,0.0,1.0,0.0,1.0,4.0,11.0,54.0,109.0,267.0,505.0,698.0,756.0,847.0,619.0,347.0,136.0,0.0,
1985,Male,Mortality,Lung cancer,0.0,0.0,0.0,0.0,0.0,1.0,2.0,15.0,35.0,103.0,263.0,502.0,755.0,767.0,835.0,624.0,341.0,153.0,0.0,
1986,Male,Mortality,Lung cancer,1.0,1.0,0.0,0.0,0.0,0.0,7.0,8.0,59.0,86.0,219.0,452.0,717.0,819.0,816.0,667.0,330.0,164.0,0.0,
1987,Male,Mortality,Lung cancer,0.0,0.0,0.0,0.0,0.0,0.0,6.0,18.0,36.0,112.0,212.0,462.0,714.0,863.0,862.0,681.0,345.0,183.0,0.0,
1988,Male,Mortality,Lung cancer,0.0,0.0,0.0,0.0,0.0,1.0,3.0,19.0,47.0,115.0,210.0,438.0,759.0,836.0,841.0,754.0,383.0,188.0,1.0,
1989,Male,Mortality,Lung cancer,0.0,0.0,0.0,0.0,0.0,1.0,6.0,11.0,55.0,129.0,211.0,399.0,718.0,971.0,867.0,735.0,432.0,189.0,0.0,
1990,Male,Mortality,Lung cancer,0.0,0.0,0.0,0.0,1.0,1.0,2.0,10.0,41.0,110.0,199.0,396.0,686.0,890.0,775.0,717.0,425.0,195.0,0.0,
1991,Male,Mortality,Lung cancer,0.0,0.0,0.0,0.0,0.0,1.0,3.0,12.0,43.0,111.0,199.0,382.0,649.0,959.0,826.0,711.0,419.0,204.0,0.0,
1992,Male,Mortality,Lung cancer,0.0,0.0,0.0,0.0,1.0,3.0,5.0,11.0,41.0,101.0,220.0,380.0,663.0,942.0,918.0,704.0,442.0,208.0,0.0,
1993,Male,Mortality,Lung cancer,0.0,0.0,0.0,0.0,1.0,1.0,5.0,13.0,53.0,107.0,188.0,349.0,658.0,847.0,921.0,708.0,453.0,220.0,0.0,
1994,Male,Mortality,Lung cancer,0.0,0.0,0.0,1.0,0.0,0.0,3.0,18.0,41.0,95.0,203.0,356.0,601.0,940.0,1066.0,773.0,456.0,280.0,0.0,
1995,Male,Mortality,Lung cancer,0.0,0.0,0.0,0.0,1.0,2.0,6.0,17.0,29.0,110.0,198.0,330.0,574.0,895.0,1016.0,709.0,539.0,272.0,0.0,
1996,Male,Mortality,Lung cancer,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,30.0,97.0,229.0,324.0,559.0,892.0,996.0,811.0,527.0,270.0,0.0,
1997,Male,Mortality,Lung cancer,0.0,1.0,0.0,0.0,0.0,0.0,4.0,9.0,29.0,96.0,193.0,319.0,554.0,774.0,974.0,785.0,510.0,297.0,0.0,
1998,Male,Mortality,Lung cancer,0.0,0.0,0.0,1.0,2.0,1.0,2.0,13.0,40.0,90.0,201.0,323.0,535.0,810.0,1036.0,835.0,508.0,318.0,0.0,
1999,Male,Mortality,Lung cancer,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,35.0,93.0,200.0,336.0,493.0,757.0,977.0,907.0,486.0,344.0,1.0,
2000,Male,Mortality,Lung cancer,0.0,0.0,0.0,0.0,0.0,2.0,3.0,12.0,37.0,72.0,184.0,351.0,509.0,704.0,938.0,914.0,519.0,352.0,0.0,
2001,Male,Mortality,Lung cancer,0.0,0.0,0.0,1.0,0.0,2.0,6.0,13.0,50.0,79.0,181.0,358.0,502.0,704.0,971.0,886.0,563.0,346.0,1.0,
2002,Male,Mortality,Lung cancer,0.0,0.0,0.0,1.0,1.0,3.0,3.0,14.0,31.0,95.0,191.0,345.0,487.0,671.0,948.0,970.0,618.0,344.0,0.0,
2003,Male,Mortality,Lung cancer,1.0,1.0,0.0,0.0,2.0,2.0,2.0,8.0,36.0,96.0,162.0,346.0,479.0,654.0,864.0,883.0,622.0,352.0,0.0,
2004,Male,Mortality,Lung cancer,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,35.0,109.0,181.0,354.0,497.0,649.0,896.0,919.0,687.0,399.0,0.0,
2005,Male,Mortality,Lung cancer,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,32.0,69.0,167.0,334.0,544.0,678.0,825.0,959.0,697.0,403.0,0.0,
2006,Male,Mortality,Lung cancer,1.0,0.0,0.0,0.0,0.0,2.0,4.0,10.0,34.0,87.0,201.0,331.0,527.0,626.0,800.0,873.0,741.0,449.0,0.0,
2007,Male,Mortality,Lung cancer,0.0,0.0,0.0,0.0,3.0,1.0,3.0,10.0,45.0,87.0,192.0,312.0,562.0,701.0,763.0,956.0,720.0,451.0,0.0,
2008,Male,Mortality,Lung cancer,0.0,0.0,0.0,0.0,0.0,0.0,8.0,16.0,36.0,97.0,177.0,326.0,587.0,686.0,771.0,910.0,817.0,540.0,0.0,
2009,Male,Mortality,Lung cancer,0.0,0.0,0.0,0.0,0.0,2.0,4.0,7.0,32.0,83.0,173.0,311.0,543.0,650.0,829.0,818.0,751.0,552.0,0.0,
2010,Male,Mortality,Lung cancer,0.0,0.0,0.0,0.0,0.0,3.0,2.0,11.0,32.0,93.0,170.0,310.0,509.0,706.0,800.0,843.0,805.0,622.0,0.0,
2011,Male,Mortality,Lung cancer,0.0,0.0,0.0,0.0,0.0,2.0,7.0,14.0,27.0,97.0,195.0,346.0,536.0,720.0,777.0,826.0,772.0,640.0,0.0,
1968,Female,Mortality,Lung cancer,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,13.0,22.0,41.0,60.0,46.0,48.0,47.0,41.0,26.0,27.0,0.0,
1969,Female,Mortality,Lung cancer,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,13.0,29.0,32.0,50.0,59.0,52.0,47.0,56.0,33.0,13.0,0.0,
1970,Female,Mortality,Lung cancer,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,16.0,27.0,48.0,83.0,82.0,75.0,70.0,51.0,28.0,12.0,0.0,
1971,Female,Mortality,Lung cancer,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,13.0,46.0,50.0,72.0,70.0,80.0,82.0,39.0,26.0,27.0,0.0,
1972,Female,Mortality,Lung cancer,1.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,7.0,37.0,55.0,72.0,70.0,83.0,72.0,48.0,33.0,22.0,0.0,
1973,Female,Mortality,Lung cancer,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,18.0,42.0,51.0,72.0,110.0,70.0,76.0,52.0,42.0,22.0,0.0,
1974,Female,Mortality,Lung cancer,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,14.0,23.0,61.0,74.0,89.0,89.0,73.0,65.0,44.0,30.0,0.0,
1975,Female,Mortality,Lung cancer,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,16.0,35.0,65.0,58.0,113.0,97.0,81.0,72.0,44.0,26.0,0.0,
1976,Female,Mortality,Lung cancer,1.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0,15.0,42.0,51.0,91.0,121.0,123.0,101.0,71.0,30.0,23.0,0.0,
1977,Female,Mortality,Lung cancer,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,22.0,42.0,68.0,91.0,138.0,153.0,105.0,77.0,52.0,39.0,0.0,
1978,Female,Mortality,Lung cancer,0.0,0.0,0.0,0.0,0.0,1.0,2.0,10.0,9.0,38.0,60.0,104.0,136.0,145.0,148.0,70.0,55.0,47.0,0.0,
1979,Female,Mortality,Lung cancer,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,15.0,32.0,88.0,109.0,157.0,172.0,140.0,84.0,53.0,35.0,0.0,
1980,Female,Mortality,Lung cancer,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,27.0,33.0,72.0,110.0,150.0,159.0,135.0,111.0,77.0,33.0,0.0,
1981,Female,Mortality,Lung cancer,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,17.0,37.0,72.0,106.0,137.0,202.0,174.0,103.0,56.0,41.0,0.0,
1982,Female,Mortality,Lung cancer,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,20.0,35.0,82.0,133.0,154.0,236.0,160.0,131.0,65.0,36.0,0.0,
1983,Female,Mortality,Lung cancer,1.0,0.0,0.0,1.0,0.0,1.0,6.0,8.0,10.0,36.0,89.0,134.0,209.0,219.0,192.0,143.0,77.0,52.0,0.0,
1984,Female,Mortality,Lung cancer,0.0,0.0,0.0,1.0,0.0,3.0,3.0,17.0,25.0,35.0,78.0,126.0,212.0,189.0,224.0,150.0,87.0,50.0,0.0,
1985,Female,Mortality,Lung cancer,0.0,0.0,0.0,0.0,1.0,0.0,7.0,15.0,19.0,39.0,70.0,154.0,190.0,228.0,220.0,152.0,97.0,59.0,1.0,
1986,Female,Mortality,Lung cancer,0.0,1.0,0.0,0.0,0.0,1.0,4.0,13.0,35.0,43.0,74.0,147.0,196.0,235.0,235.0,175.0,113.0,69.0,0.0,
1987,Female,Mortality,Lung cancer,0.0,0.0,0.0,0.0,0.0,2.0,3.0,17.0,27.0,42.0,88.0,101.0,193.0,223.0,242.0,194.0,113.0,75.0,0.0,
1988,Female,Mortality,Lung cancer,0.0,0.0,0.0,0.0,0.0,1.0,3.0,12.0,31.0,53.0,66.0,141.0,239.0,266.0,283.0,226.0,138.0,62.0,0.0,
1989,Female,Mortality,Lung cancer,0.0,0.0,0.0,0.0,0.0,1.0,3.0,10.0,40.0,54.0,81.0,148.0,231.0,271.0,315.0,210.0,147.0,73.0,0.0,
1990,Female,Mortality,Lung cancer,0.0,1.0,0.0,0.0,0.0,2.0,3.0,15.0,35.0,46.0,73.0,125.0,232.0,292.0,278.0,251.0,148.0,92.0,0.0,
1991,Female,Mortality,Lung cancer,0.0,0.0,0.0,0.0,1.0,1.0,4.0,8.0,27.0,58.0,101.0,138.0,241.0,298.0,325.0,284.0,154.0,90.0,0.0,
1992,Female,Mortality,Lung cancer,0.0,0.0,0.0,0.0,1.0,0.0,4.0,7.0,25.0,57.0,86.0,126.0,216.0,305.0,299.0,308.0,159.0,127.0,0.0,
1993,Female,Mortality,Lung cancer,0.0,0.0,1.0,0.0,0.0,1.0,3.0,10.0,25.0,59.0,102.0,131.0,203.0,316.0,357.0,313.0,191.0,116.0,0.0,
1994,Female,Mortality,Lung cancer,0.0,0.0,0.0,0.0,1.0,1.0,0.0,14.0,20.0,61.0,113.0,147.0,203.0,320.0,385.0,307.0,213.0,116.0,0.0,
1995,Female,Mortality,Lung cancer,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,31.0,63.0,119.0,121.0,213.0,323.0,397.0,341.0,232.0,146.0,0.0,
1996,Female,Mortality,Lung cancer,0.0,0.0,0.0,0.0,0.0,0.0,5.0,13.0,26.0,68.0,126.0,161.0,216.0,315.0,349.0,342.0,234.0,166.0,0.0,
1997,Female,Mortality,Lung cancer,0.0,0.0,0.0,0.0,1.0,0.0,2.0,9.0,35.0,70.0,116.0,161.0,211.0,330.0,389.0,350.0,232.0,162.0,0.0,
1998,Female,Mortality,Lung cancer,0.0,0.0,0.0,0.0,0.0,1.0,4.0,9.0,29.0,56.0,115.0,165.0,200.0,303.0,403.0,354.0,248.0,163.0,0.0,
1999,Female,Mortality,Lung cancer,0.0,1.0,0.0,0.0,0.0,1.0,2.0,10.0,33.0,49.0,121.0,158.0,202.0,306.0,400.0,405.0,247.0,189.0,0.0,
2000,Female,Mortality,Lung cancer,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,26.0,69.0,130.0,182.0,222.0,303.0,437.0,404.0,293.0,239.0,0.0,
2001,Female,Mortality,Lung cancer,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,40.0,78.0,108.0,196.0,221.0,327.0,415.0,433.0,334.0,219.0,1.0,
2002,Female,Mortality,Lung cancer,0.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,34.0,70.0,141.0,214.0,255.0,290.0,443.0,485.0,326.0,258.0,1.0,
2003,Female,Mortality,Lung cancer,0.0,0.0,0.0,0.0,0.0,1.0,3.0,7.0,40.0,63.0,132.0,184.0,258.0,293.0,396.0,478.0,348.0,279.0,0.0,
2004,Female,Mortality,Lung cancer,1.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,40.0,71.0,112.0,200.0,272.0,294.0,355.0,495.0,408.0,264.0,0.0,
2005,Female,Mortality,Lung cancer,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,21.0,90.0,101.0,219.0,276.0,349.0,410.0,494.0,434.0,313.0,1.0,
2006,Female,Mortality,Lung cancer,0.0,0.0,0.0,0.0,0.0,4.0,2.0,10.0,30.0,94.0,124.0,229.0,318.0,351.0,374.0,460.0,402.0,327.0,0.0,
2007,Female,Mortality,Lung cancer,0.0,0.0,0.0,1.0,0.0,1.0,6.0,12.0,39.0,81.0,147.0,218.0,320.0,363.0,404.0,522.0,450.0,374.0,0.0,
2008,Female,Mortality,Lung cancer,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,27.0,72.0,149.0,198.0,325.0,350.0,409.0,502.0,477.0,371.0,0.0,
2009,Female,Mortality,Lung cancer,0.0,0.0,0.0,0.0,0.0,2.0,2.0,14.0,34.0,74.0,149.0,230.0,320.0,417.0,436.0,439.0,505.0,411.0,0.0,
2010,Female,Mortality,Lung cancer,0.0,0.0,0.0,1.0,0.0,2.0,1.0,8.0,34.0,66.0,145.0,214.0,370.0,416.0,503.0,474.0,493.0,454.0,0.0,
2011,Female,Mortality,Lung cancer,0.0,0.0,0.0,0.0,1.0,1.0,2.0,11.0,32.0,80.0,146.0,231.0,361.0,446.0,458.0,458.0,458.0,470.0,0.0,
1968,Persons,Mortality,Lung cancer,0.0,0.0,0.0,1.0,1.0,1.0,5.0,18.0,61.0,119.0,229.0,389.0,526.0,526.0,475.0,320.0,141.0,71.0,0.0,
1969,Persons,Mortality,Lung cancer,0.0,0.0,0.0,1.0,0.0,1.0,6.0,17.0,63.0,170.0,230.0,439.0,491.0,582.0,490.0,335.0,164.0,56.0,0.0,
1970,Persons,Mortality,Lung cancer,0.0,0.0,1.0,0.0,0.0,1.0,10.0,15.0,56.0,148.0,235.0,444.0,599.0,636.0,510.0,373.0,172.0,59.0,0.0,
1971,Persons,Mortality,Lung cancer,0.0,0.0,0.0,1.0,0.0,2.0,5.0,24.0,69.0,158.0,290.0,429.0,626.0,660.0,544.0,360.0,159.0,79.0,0.0,
1972,Persons,Mortality,Lung cancer,1.0,1.0,0.0,0.0,0.0,5.0,8.0,24.0,42.0,168.0,284.0,409.0,615.0,668.0,606.0,393.0,185.0,66.0,0.0,
1973,Persons,Mortality,Lung cancer,0.0,0.0,0.0,0.0,0.0,1.0,5.0,22.0,59.0,182.0,308.0,417.0,656.0,699.0,608.0,425.0,192.0,86.0,1.0,
1974,Persons,Mortality,Lung cancer,0.0,0.0,1.0,2.0,1.0,2.0,5.0,19.0,61.0,190.0,310.0,479.0,676.0,711.0,682.0,436.0,212.0,103.0,1.0,
1975,Persons,Mortality,Lung cancer,0.0,0.0,0.0,0.0,2.0,8.0,9.0,21.0,57.0,184.0,315.0,453.0,709.0,744.0,681.0,461.0,240.0,87.0,0.0,
1976,Persons,Mortality,Lung cancer,1.0,0.0,0.0,1.0,0.0,5.0,5.0,22.0,74.0,188.0,319.0,476.0,735.0,814.0,766.0,509.0,220.0,107.0,0.0,
1977,Persons,Mortality,Lung cancer,0.0,0.0,0.0,1.0,0.0,6.0,8.0,17.0,57.0,170.0,331.0,454.0,735.0,844.0,770.0,525.0,269.0,132.0,0.0,
1978,Persons,Mortality,Lung cancer,0.0,0.0,0.0,1.0,1.0,2.0,5.0,23.0,58.0,159.0,349.0,538.0,741.0,877.0,773.0,588.0,266.0,144.0,0.0,
1979,Persons,Mortality,Lung cancer,0.0,1.0,0.0,2.0,1.0,2.0,5.0,17.0,50.0,149.0,370.0,544.0,758.0,930.0,851.0,609.0,277.0,142.0,0.0,
1980,Persons,Mortality,Lung cancer,0.0,0.0,0.0,0.0,0.0,1.0,8.0,23.0,66.0,153.0,354.0,640.0,741.0,960.0,845.0,669.0,337.0,148.0,0.0,
1981,Persons,Mortality,Lung cancer,0.0,0.0,0.0,1.0,0.0,2.0,13.0,26.0,71.0,149.0,356.0,612.0,742.0,1042.0,968.0,677.0,321.0,159.0,1.0,
1982,Persons,Mortality,Lung cancer,0.0,0.0,0.0,0.0,1.0,1.0,6.0,23.0,67.0,128.0,340.0,658.0,759.0,1102.0,961.0,716.0,357.0,169.0,0.0,
1983,Persons,Mortality,Lung cancer,1.0,0.0,0.0,1.0,1.0,3.0,12.0,21.0,61.0,146.0,362.0,635.0,892.0,1011.0,1011.0,722.0,380.0,174.0,0.0,
1984,Persons,Mortality,Lung cancer,0.0,0.0,0.0,2.0,0.0,4.0,7.0,28.0,79.0,144.0,345.0,631.0,910.0,945.0,1071.0,769.0,434.0,186.0,0.0,
1985,Persons,Mortality,Lung cancer,0.0,0.0,0.0,0.0,1.0,1.0,9.0,30.0,54.0,142.0,333.0,656.0,945.0,995.0,1055.0,776.0,438.0,212.0,1.0,
1986,Persons,Mortality,Lung cancer,1.0,2.0,0.0,0.0,0.0,1.0,11.0,21.0,94.0,129.0,293.0,599.0,913.0,1054.0,1051.0,842.0,443.0,233.0,0.0,
1987,Persons,Mortality,Lung cancer,0.0,0.0,0.0,0.0,0.0,2.0,9.0,35.0,63.0,154.0,300.0,563.0,907.0,1086.0,1104.0,875.0,458.0,258.0,0.0,
1988,Persons,Mortality,Lung cancer,0.0,0.0,0.0,0.0,0.0,2.0,6.0,31.0,78.0,168.0,276.0,579.0,998.0,1102.0,1124.0,980.0,521.0,250.0,1.0,
1989,Persons,Mortality,Lung cancer,0.0,0.0,0.0,0.0,0.0,2.0,9.0,21.0,95.0,183.0,292.0,547.0,949.0,1242.0,1182.0,945.0,579.0,262.0,0.0,
1990,Persons,Mortality,Lung cancer,0.0,1.0,0.0,0.0,1.0,3.0,5.0,25.0,76.0,156.0,272.0,521.0,918.0,1182.0,1053.0,968.0,573.0,287.0,0.0,
1991,Persons,Mortality,Lung cancer,0.0,0.0,0.0,0.0,1.0,2.0,7.0,20.0,70.0,169.0,300.0,520.0,890.0,1257.0,1151.0,995.0,573.0,294.0,0.0,
1992,Persons,Mortality,Lung cancer,0.0,0.0,0.0,0.0,2.0,3.0,9.0,18.0,66.0,158.0,306.0,506.0,879.0,1247.0,1217.0,1012.0,601.0,335.0,0.0,
1993,Persons,Mortality,Lung cancer,0.0,0.0,1.0,0.0,1.0,2.0,8.0,23.0,78.0,166.0,290.0,480.0,861.0,1163.0,1278.0,1021.0,644.0,336.0,0.0,
1994,Persons,Mortality,Lung cancer,0.0,0.0,0.0,1.0,1.0,1.0,3.0,32.0,61.0,156.0,316.0,503.0,804.0,1260.0,1451.0,1080.0,669.0,396.0,0.0,
1995,Persons,Mortality,Lung cancer,0.0,0.0,0.0,0.0,1.0,2.0,9.0,27.0,60.0,173.0,317.0,451.0,787.0,1218.0,1413.0,1050.0,771.0,418.0,0.0,
1996,Persons,Mortality,Lung cancer,0.0,0.0,0.0,0.0,0.0,0.0,7.0,22.0,56.0,165.0,355.0,485.0,775.0,1207.0,1345.0,1153.0,761.0,436.0,0.0,
1997,Persons,Mortality,Lung cancer,0.0,1.0,0.0,0.0,1.0,0.0,6.0,18.0,64.0,166.0,309.0,480.0,765.0,1104.0,1363.0,1135.0,742.0,459.0,0.0,
1998,Persons,Mortality,Lung cancer,0.0,0.0,0.0,1.0,2.0,2.0,6.0,22.0,69.0,146.0,316.0,488.0,735.0,1113.0,1439.0,1189.0,756.0,481.0,0.0,
1999,Persons,Mortality,Lung cancer,0.0,1.0,0.0,0.0,0.0,1.0,5.0,25.0,68.0,142.0,321.0,494.0,695.0,1063.0,1377.0,1312.0,733.0,533.0,1.0,
2000,Persons,Mortality,Lung cancer,0.0,0.0,0.0,0.0,0.0,2.0,4.0,24.0,63.0,141.0,314.0,533.0,731.0,1007.0,1375.0,1318.0,812.0,591.0,0.0,
2001,Persons,Mortality,Lung cancer,1.0,0.0,0.0,1.0,0.0,2.0,6.0,26.0,90.0,157.0,289.0,554.0,723.0,1031.0,1386.0,1319.0,897.0,565.0,2.0,
2002,Persons,Mortality,Lung cancer,0.0,0.0,0.0,1.0,2.0,4.0,5.0,19.0,65.0,165.0,332.0,559.0,742.0,961.0,1391.0,1455.0,944.0,602.0,1.0,
2003,Persons,Mortality,Lung cancer,1.0,1.0,0.0,0.0,2.0,3.0,5.0,15.0,76.0,159.0,294.0,530.0,737.0,947.0,1260.0,1361.0,970.0,631.0,0.0,
2004,Persons,Mortality,Lung cancer,1.0,0.0,0.0,0.0,0.0,1.0,5.0,23.0,75.0,180.0,293.0,554.0,769.0,943.0,1251.0,1414.0,1095.0,663.0,0.0,
2005,Persons,Mortality,Lung cancer,0.0,0.0,0.0,1.0,0.0,0.0,2.0,16.0,53.0,159.0,268.0,553.0,820.0,1027.0,1235.0,1453.0,1131.0,716.0,1.0,
2006,Persons,Mortality,Lung cancer,1.0,0.0,0.0,0.0,0.0,6.0,6.0,20.0,64.0,181.0,325.0,560.0,845.0,977.0,1174.0,1333.0,1143.0,776.0,0.0,
2007,Persons,Mortality,Lung cancer,0.0,0.0,0.0,1.0,3.0,2.0,9.0,22.0,84.0,168.0,339.0,530.0,882.0,1064.0,1167.0,1478.0,1170.0,825.0,0.0,
2008,Persons,Mortality,Lung cancer,0.0,0.0,0.0,0.0,0.0,0.0,10.0,22.0,63.0,169.0,326.0,524.0,912.0,1036.0,1180.0,1412.0,1294.0,911.0,0.0,
2009,Persons,Mortality,Lung cancer,0.0,0.0,0.0,0.0,0.0,4.0,6.0,21.0,66.0,157.0,322.0,541.0,863.0,1067.0,1265.0,1257.0,1256.0,963.0,0.0,
2010,Persons,Mortality,Lung cancer,0.0,0.0,0.0,1.0,0.0,5.0,3.0,19.0,66.0,159.0,315.0,524.0,879.0,1122.0,1303.0,1317.0,1298.0,1076.0,0.0,
2011,Persons,Mortality,Lung cancer,0.0,0.0,0.0,0.0,1.0,3.0,9.0,25.0,59.0,177.0,341.0,577.0,897.0,1166.0,1235.0,1284.0,1230.0,1110.0,0.0,
1968,Male,Incidence,Melanoma of the skin,,,,,,,,,,,,,,,,,,,,
1969,Male,Incidence,Melanoma of the skin,,,,,,,,,,,,,,,,,,,,
1970,Male,Incidence,Melanoma of the skin,,,,,,,,,,,,,,,,,,,,
1971,Male,Incidence,Melanoma of the skin,,,,,,,,,,,,,,,,,,,,
1972,Male,Incidence,Melanoma of the skin,,,,,,,,,,,,,,,,,,,,
1973,Male,Incidence,Melanoma of the skin,,,,,,,,,,,,,,,,,,,,
1974,Male,Incidence,Melanoma of the skin,,,,,,,,,,,,,,,,,,,,
1975,Male,Incidence,Melanoma of the skin,,,,,,,,,,,,,,,,,,,,
1976,Male,Incidence,Melanoma of the skin,,,,,,,,,,,,,,,,,,,,
1977,Male,Incidence,Melanoma of the skin,,,,,,,,,,,,,,,,,,,,
1978,Male,Incidence,Melanoma of the skin,,,,,,,,,,,,,,,,,,,,
1979,Male,Incidence,Melanoma of the skin,,,,,,,,,,,,,,,,,,,,
1980,Male,Incidence,Melanoma of the skin,,,,,,,,,,,,,,,,,,,,
1981,Male,Incidence,Melanoma of the skin,,,,,,,,,,,,,,,,,,,,
1982,Male,Incidence,Melanoma of the skin,0.0,0.0,5.0,30.0,53.0,83.0,124.0,115.0,135.0,131.0,177.0,197.0,198.0,188.0,144.0,84.0,54.0,19.0,3.0,
1983,Male,Incidence,Melanoma of the skin,1.0,2.0,4.0,27.0,51.0,75.0,119.0,136.0,121.0,138.0,171.0,202.0,228.0,205.0,154.0,109.0,37.0,25.0,2.0,
1984,Male,Incidence,Melanoma of the skin,0.0,1.0,4.0,34.0,56.0,90.0,109.0,132.0,157.0,155.0,194.0,210.0,224.0,226.0,198.0,118.0,56.0,31.0,2.0,
1985,Male,Incidence,Melanoma of the skin,0.0,0.0,2.0,27.0,60.0,106.0,140.0,162.0,166.0,156.0,196.0,255.0,262.0,237.0,214.0,125.0,69.0,38.0,4.0,
1986,Male,Incidence,Melanoma of the skin,0.0,0.0,7.0,40.0,62.0,99.0,155.0,186.0,191.0,187.0,195.0,255.0,284.0,257.0,218.0,149.0,77.0,36.0,4.0,
1987,Male,Incidence,Melanoma of the skin,1.0,0.0,7.0,40.0,76.0,145.0,190.0,225.0,241.0,206.0,225.0,301.0,340.0,308.0,262.0,168.0,98.0,33.0,0.0,
1988,Male,Incidence,Melanoma of the skin,0.0,0.0,4.0,57.0,91.0,161.0,191.0,224.0,265.0,254.0,285.0,312.0,348.0,347.0,280.0,201.0,96.0,74.0,2.0,
1989,Male,Incidence,Melanoma of the skin,1.0,1.0,12.0,38.0,66.0,110.0,172.0,211.0,266.0,242.0,236.0,271.0,411.0,356.0,293.0,223.0,133.0,68.0,3.0,
1990,Male,Incidence,Melanoma of the skin,1.0,1.0,4.0,48.0,63.0,115.0,168.0,193.0,268.0,246.0,282.0,269.0,357.0,348.0,322.0,236.0,135.0,74.0,0.0,
